date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:14	1084/1084	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202019%2008:57:09%20GMT	http://188.95.36.104:8080/robots.txt		(from )
14:27:14	35499/35499	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2008:57:09%20GMT	http://188.95.36.104:8080/cwc/index.html	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/index.html	(from )
14:27:15	4389/4389	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2008:57:10%20GMT	http://188.95.36.104:8080/cwc/images/icons/favicon.ico	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/images/icons/favicon.html	(from http://188.95.36.104:8080/cwc/index.html)
14:27:15	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202019%2008:57:10%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/vendor/bootstrap/css/bootstrap.min.2.delayed	(from http://188.95.36.104:8080/cwc/index.html)
14:27:16	31000/31000	---M--	200	added ('OK')	text/css	date:Fri,%2024%20May%202019%2013:27:10%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from http://188.95.36.104:8080/cwc/index.html)
14:27:16	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202019%2008:57:12%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/vendor/animate/animate.css	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/vendor/animate/animate.4.delayed	(from http://188.95.36.104:8080/cwc/index.html)
14:27:17	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202019%2008:57:12%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/vendor/select2/select2.min.css	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/vendor/select2/select2.min.5.delayed	(from http://188.95.36.104:8080/cwc/index.html)
14:27:17	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202019%2008:57:13%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/vendor/perfect-scrollbar/perfect-scrollbar.css	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/vendor/perfect-scrollbar/perfect-scrollbar.6.delayed	(from http://188.95.36.104:8080/cwc/index.html)
14:27:18	9590/9590	---M--	200	added ('OK')	text/css	date:Mon,%2027%20May%202019%2009:53:56%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/css/table.css	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/css/table.css	(from http://188.95.36.104:8080/cwc/index.html)
14:27:18	3160/3160	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jan%202019%2010:10:00%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	(from http://188.95.36.104:8080/cwc/index.html)
14:27:19	7097/7097	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jan%202019%2011:06:50%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/css/css_u9Cn6xFPfn6NvRqMGUV6k10stVTR4AGT7eontS75hX4.css	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/css/css_u9Cn6xFPfn6NvRqMGUV6k10stVTR4AGT7eontS75hX4.css	(from http://188.95.36.104:8080/cwc/index.html)
14:27:20	59632/59632	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2011:36:46%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/css/css_MLnTVauaZ3xU71FCGRx8ssffNeDNw9lXOXaHZZcXrQ0.css	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/css/css_MLnTVauaZ3xU71FCGRx8ssffNeDNw9lXOXaHZZcXrQ0.css	(from http://188.95.36.104:8080/cwc/index.html)
14:27:22	185476/185476	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202019%2009:48:32%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/css/css_Ch_49ze4Bq3ULziIh8Dy-vtmJWaZVwru8GDKSm4NKiM.css	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/css/css_Ch_49ze4Bq3ULziIh8Dy-vtmJWaZVwru8GDKSm4NKiM.css	(from http://188.95.36.104:8080/cwc/index.html)
14:27:24	4591/4591	---M--	200	added ('OK')	text/javascript	date:Wed,%2028%20Nov%202018%2018:14:36%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/all/libraries/respondjs/respond.min6355.js?pliuwa	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/all/libraries/respondjs/respond.min63556355.js	(from http://188.95.36.104:8080/cwc/index.html)
14:27:24	3542/3542	---M--	200	added ('OK')	text/javascript	date:Fri,%2018%20Jan%202019%2011:08:08%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/js/js_QwNN-JdAEdJ7FW58qqObESLBwrQxseWoGc6C_gzQKYg.js	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/js/js_QwNN-JdAEdJ7FW58qqObESLBwrQxseWoGc6C_gzQKYg.js	(from http://188.95.36.104:8080/cwc/index.html)
14:27:27	12180/12180	---M--	200	added ('OK')	text/javascript	date:Fri,%2018%20Jan%202019%2011:08:08%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/js/js_u9XzY8GuIn7LRlzzmkoMbzg3ZjQZRlcForDmeex8alU.js	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/js/js_u9XzY8GuIn7LRlzzmkoMbzg3ZjQZRlcForDmeex8alU.js	(from http://188.95.36.104:8080/cwc/index.html)
